Date,Metric,Decade,Number of Records,Value
01-06-1901 00:00:00,1 Year,1900,1,0.049996965
01-06-1901 00:00:00,10 Years,1900,1,0.057098531
01-06-1901 00:00:00,3 Years,1900,1,0.033338043
01-06-1901 00:00:00,Inflation rate,1900,1,-0.024691215
01-06-1901 00:00:00,P/E,1900,1,17.346938776
01-06-1901 00:00:00,Real Forward 10 Years Annualized Cap Gains Return,1900,1,0.021330799
01-06-1901 00:00:00,Real Forward 10 years Appreciation Return,1900,1,0.359606667
01-06-1901 00:00:00,Real Forward 10 Years Dividend Annualized Return,1900,1,0.027477061
01-06-1901 00:00:00,Real interest rate,1900,1,0.057442883
01-06-1901 00:00:00,Real S&P Comp return with dividend,1900,1,0.34741751
01-06-1901 00:00:00,Real S&P Comp yield,1900,1,0.062710195
01-06-1901 00:00:00,S&P Composite,1900,1,8.5
01-06-1902 00:00:00,1 Year,1900,1,-0.116321033
01-06-1902 00:00:00,10 Years,1900,1,0.028201775
01-06-1902 00:00:00,3 Years,1900,1,-0.033986234
01-06-1902 00:00:00,Inflation rate,1900,1,0.088606531
01-06-1902 00:00:00,P/E,1900,1,14.884955752
01-06-1902 00:00:00,Real Forward 10 Years Annualized Cap Gains Return,1900,1,-0.008717822
01-06-1902 00:00:00,Real Forward 10 years Appreciation Return,1900,1,0.368910125
01-06-1902 00:00:00,Real Forward 10 Years Dividend Annualized Return,1900,1,0.022551916
01-06-1902 00:00:00,Real interest rate,1900,1,-0.051723492
01-06-1902 00:00:00,Real S&P Comp return with dividend,1900,1,0.049996965
01-06-1902 00:00:00,Real S&P Comp yield,1900,1,-0.045895426
01-06-1902 00:00:00,S&P Composite,1900,1,8.41
01-06-1903 00:00:00,1 Year,1900,1,0.041098678
01-06-1903 00:00:00,10 Years,1900,1,0.027019612
01-06-1903 00:00:00,3 Years,1900,1,0.022109899
01-06-1903 00:00:00,Inflation rate,1900,1,0
01-06-1903 00:00:00,P/E,1900,1,12.379310345
01-06-1903 00:00:00,Real Forward 10 Years Annualized Cap Gains Return,1900,1,-0.007205339
01-06-1903 00:00:00,Real Forward 10 years Appreciation Return,1900,1,0.419602148
01-06-1903 00:00:00,Real Forward 10 Years Dividend Annualized Return,1900,1,0.019265378
01-06-1903 00:00:00,Real interest rate,1900,1,0.033416667
01-06-1903 00:00:00,Real S&P Comp return with dividend,1900,1,-0.116321033
01-06-1903 00:00:00,Real S&P Comp yield,1900,1,0.04735376
01-06-1903 00:00:00,S&P Composite,1900,1,7.18
01-06-1904 00:00:00,1 Year,1900,1,0.313769479
01-06-1904 00:00:00,10 Years,1900,1,0.049339472
01-06-1904 00:00:00,3 Years,1900,1,0.156966826
01-06-1904 00:00:00,Inflation rate,1900,1,-0.011626365
01-06-1904 00:00:00,P/E,1900,1,12.764705882
01-06-1904 00:00:00,Real Forward 10 Years Annualized Cap Gains Return,1900,1,0.008777379
01-06-1904 00:00:00,Real Forward 10 years Appreciation Return,1900,1,0.549096461
01-06-1904 00:00:00,Real Forward 10 Years Dividend Annualized Return,1900,1,0.030855571
01-06-1904 00:00:00,Real interest rate,1900,1,0.046500328
01-06-1904 00:00:00,Real S&P Comp return with dividend,1900,1,0.041098678
01-06-1904 00:00:00,Real S&P Comp yield,1900,1,0.063050659
01-06-1904 00:00:00,S&P Composite,1900,1,6.51
01-06-1905 00:00:00,1 Year,1900,1,0.082612538
01-06-1905 00:00:00,10 Years,1900,1,0.028296124
01-06-1905 00:00:00,3 Years,1900,1,-0.014611802
01-06-1905 00:00:00,Inflation rate,1900,1,0.02353026
01-06-1905 00:00:00,P/E,1900,1,14.827586207
01-06-1905 00:00:00,Real Forward 10 Years Annualized Cap Gains Return,1900,1,-0.015952966
01-06-1905 00:00:00,Real Forward 10 years Appreciation Return,1900,1,0.178255163
01-06-1905 00:00:00,Real Forward 10 Years Dividend Annualized Return,1900,1,0.025148296
01-06-1905 00:00:00,Real interest rate,1900,1,0.010807112
01-06-1905 00:00:00,Real S&P Comp return with dividend,1900,1,0.313769479
01-06-1905 00:00:00,Real S&P Comp yield,1900,1,0.01336457
01-06-1905 00:00:00,S&P Composite,1900,1,8.6
01-06-1906 00:00:00,1 Year,1900,1,-0.190834329
01-06-1906 00:00:00,10 Years,1900,1,0.014531632
01-06-1906 00:00:00,3 Years,1900,1,-0.042637783
01-06-1906 00:00:00,Inflation rate,1900,1,0.034480059
01-06-1906 00:00:00,P/E,1900,1,13.006993007
01-06-1906 00:00:00,Real Forward 10 Years Annualized Cap Gains Return,1900,1,-0.02592961
01-06-1906 00:00:00,Real Forward 10 years Appreciation Return,1900,1,0.176220247
01-06-1906 00:00:00,Real Forward 10 Years Dividend Annualized Return,1900,1,0.018891334
01-06-1906 00:00:00,Real interest rate,1900,1,0.000792611
01-06-1906 00:00:00,Real S&P Comp return with dividend,1900,1,0.082612538
01-06-1906 00:00:00,Real S&P Comp yield,1900,1,0.004608356
01-06-1906 00:00:00,S&P Composite,1900,1,9.3
01-06-1907 00:00:00,1 Year,1900,1,0.11247272
01-06-1907 00:00:00,10 Years,1900,1,0.008518945
01-06-1907 00:00:00,3 Years,1900,1,-0.019625301
01-06-1907 00:00:00,Inflation rate,1900,1,0.077775045
