Date,Market,Market Size,Product,Product Id,Product Type,State,Type,Budget Profit,Budget Sales,Cogs,Number of Records,Profit,Profit Ratio,Sales,Total Expenses
1/1/2010 12:00:00 AM,Central,Major Market,Amaretto,1,Coffee,Colorado,Regular,100,220,89,1,94,42.9%,219,36
1/1/2010 12:00:00 AM,Central,Major Market,Columbian,2,Coffee,Colorado,Regular,80,190,83,1,68,35.8%,190,39
1/1/2010 12:00:00 AM,Central,Major Market,Decaf Irish Cream,3,Coffee,Colorado,Decaf,110,240,95,1,101,43.2%,234,38
1/1/2010 12:00:00 AM,Central,Major Market,Green Tea,13,Tea,Colorado,Regular,30,80,44,1,30,30.0%,100,26
1/1/2010 12:00:00 AM,Central,Major Market,Caffe Mocha,5,Espresso,Colorado,Regular,70,150,54,1,54,40.3%,134,26
1/1/2010 12:00:00 AM,Central,Major Market,Decaf Espresso,6,Espresso,Colorado,Decaf,80,210,72,1,53,29.4%,180,55
1/1/2010 12:00:00 AM,Central,Major Market,Chamomile,8,Herbal Tea,Colorado,Decaf,110,300,170,1,99,29.0%,341,72
1/1/2010 12:00:00 AM,Central,Major Market,Lemon,9,Herbal Tea,Colorado,Decaf,20,130,63,1,0,0.0%,150,87
1/1/2010 12:00:00 AM,Central,Major Market,Mint,10,Herbal Tea,Colorado,Decaf,40,120,60,1,33,23.6%,140,47
1/1/2010 12:00:00 AM,Central,Major Market,Darjeeling,11,Tea,Colorado,Regular,20,110,58,1,17,13.1%,130,55
1/1/2010 12:00:00 AM,Central,Major Market,Earl Grey,12,Tea,Colorado,Regular,40,120,64,1,36,25.7%,140,40
1/1/2010 12:00:00 AM,Central,Major Market,Columbian,2,Coffee,Illinois,Regular,130,360,144,1,111,32.2%,345,90
1/1/2010 12:00:00 AM,Central,Major Market,Decaf Irish Cream,3,Coffee,Illinois,Decaf,100,240,95,1,87,37.2%,234,52
1/1/2010 12:00:00 AM,Central,Major Market,Caffe Mocha,5,Espresso,Illinois,Regular,260,640,234,1,203,37.2%,546,109
1/1/2010 12:00:00 AM,Central,Major Market,Decaf Espresso,6,Espresso,Illinois,Decaf,180,530,228,1,140,30.7%,456,88
