Year,Number of US Troops,US fatalities,ARVN fatalities,NVA & VC fatalities,Herbicide used by US army in gallons,TOTAL acres effected,TOTAL sq. miles effected
1959,760,,,,,,
1960,900,,2223,,,,
1961,3200,,4004,,,,
1962,11300,53,4457,,17171,5724,27
1963,16300,122,5665,,74760,24920,117
1964,23300,216,7457,,281607,93869,440
1965,184300,1928,11242,,664657,221552,1039
1966,385300,6350,11953,71473,2535788,845263,3962
1967,485600,11363,12716,133484,5123353,1707784,8005
1968,536100,16899,27915,208254,5089010,1696337,7952
1969,475200,11780,21833,132051,4558817,1519606,7123
1970,334600,6173,23346,86591,758966,252989,1186
1971,156800,2414,22738,19320,10039,3346,16
1972,24200,759,39587,4261,,,
1973,50,,27901,,,,
